Release Date,Movie,Distributor,Domestic Box Office to Date,Trailer
,The Hunger Games: Mockingjay - Part 2 (IMAX),Lionsgate,,

November 25,Creed (Wide),Warner Bros.,,
,Midnight Special (Wide),Warner Bros.,,
,The Martian (Wide),20th Century Fox,,
,The Good Dinosaur (Wide),Walt Disney,,
,Untitled Jonathan Levine Holliday Comedy (Wide),Sony Pictures,,
"December, 2015"
December 4,Krampus (Wide),Universal,,

December 11,In Heart of the Sea (Wide),Warner Bros.,,

December 18,Sisters (Wide),Universal,,
,Star Wars: The Force Awakens (Wide),Walt Disney,,Play
,Star Wars: The Force Awakens (IMAX),Walt Disney,,Play

December 25,Alvin and the Chimpunks 4 (Wide),20th Century Fox,,
,Concussion (Wide),Sony Pictures,,
,Joy (Wide),20th Century Fox,,
,Monster Trucks (Wide),Paramount Pictures,,
,Point Break (Wide),Warner Bros.,,
,The Revenant (Limited),20th Century Fox,,

December 31,Hillsong: Let Hope Rise (Wide),Warner Bros.,,
,Mistress America (Limited),Fox Searchlight,,
,Mr. Holmes (Limited),Roadside Attractions,,

December TBD,The Ghouls (Limited),IM Global,,

Fall 2015,The Hateful Eight (Wide),Weinstein Co.,,
,The Diabolical (Limited),XLrater Media,,
,The Forbidden Room (Limited),Kino Lorber,,

During 2015,Resident Evil 6 (Wide),Sony Pictures,,
,Horse Money (Limited),Cinema Guild,,
,The D Train (Limited),IFC Films,,
,Fresh Dressed (Limited),Samuel Goldwyn Films,,
,Hyena (Limited),TriBeca Films,,
,"Ich seh, Ich seh (Limited)",RADiUS-TWC,,
,Kill Me Three Times (Limited),Magnolia Pictures,,
,Manglehorn (Limited),IFC Films,,
,Marie's Story (Limited),Film Movement,,
,The Overnight (Limited),The Orchard,,
,Pawn Sacrifice (Limited),Beeker Street,,
,Strangerland (Limited),Alchemy,,
,Tangerine (Limited),Magnolia Pictures,,
,Wrecker (Limited),XLrater Media,,
"January, 2016"
January 8,The Forest (Wide),Focus Features,,
,Untitled Blumhouse Horror Project 1 (Wide),Universal,,

January 15,Ride Along 2 (Wide),Universal,,
,The Nut Job 2 (Limited),Open Road,,

January 22,The Mechanic 2 (Wide),Lionsgate,,

January 29,The 5th Wave (Wide),Sony Pictures,,
"February, 2016"
February 5,"Hail, Caesar! (Wide)",Universal,,

February 12,Deadpool (Wide),20th Century Fox,,
,Gods of Egypt (Wide),Lionsgate,,
,How to be Single (Wide),Warner Bros.,,
,The Secret Life of Pets (Wide),Universal,,

February 26,Ben-Hur (Wide),Paramount Pictures,,
,Grimsby (Wide),Sony Pictures,,
"March, 2016"
March 4,Peregrine's Home for Peculiars (Wide),20th Century Fox,,
,Prometheus 2 (Wide),20th Century Fox,,
,Zootopia (Wide),Walt Disney,,

March 11,Christ the Lord (Wide),Focus Features,,
,Warcraft (Wide),Universal,,
,Warcraft (IMAX),Universal,,

March 18,Allegiant: Part 1 (Wide),Lionsgate,,
,Kung Fu Panda 3 (Wide),20th Century Fox,,
,Kung Fu Panda 3 (IMAX),20th Century Fox,,

March 25,Batman v Superman: Dawn of Justice (Wide),Warner Bros.,,
,Beverly Hills Cop (Wide),Paramount Pictures,,
"April, 2016"
April 1,Catfight (Wide),Sony Pictures,,

April 8,Michelle Darnell (Wide),Universal,,
,Race (Wide),Focus Features,,

April 15,The Best Man Wedding (Wide),Universal,,

April 16,The Jungle Book (Wide),Walt Disney,,

April 22,Snow White and the Huntsman 2 (Wide),Universal,,
"May, 2016"
May 6,Captain America: Civil War (Wide),Walt Disney,,

May 13,Neighbors 2 (Wide),Universal,,
,Untitled Friday the 13th (Wide),Paramount Pictures,,

May 20,Angry Birds (Wide),Sony Pictures,,

May 27,Through the Looking Glass (Wide),Walt Disney,,
,X-Men: Apocalypse (Wide),20th Century Fox,,
"June, 2016"
June 3,Teenage Mutant Ninja Turtles 2 (Wide),Paramount Pictures,,

June 10,The Conjuring 2 (Wide),Warner Bros.,,
,Now You See Me 2 (Wide),Lionsgate,,
,Uncharted:  Drake's Fortune (Wide),Sony Pictures,,

June 17,Finding Dory (Wide),Walt Disney,,
,Nice Guys (Wide),Warner Bros.,,

June 24,Independence Day 2 (Wide),20th Century Fox,,
,The Mummy (Wide),Universal,,
"July, 2016"
July 1,The BFG (Wide),Walt Disney,,
,The Purge 3 (Wide),,,
,Tarzan (Wide),Warner Bros.,,
,Tarzan (IMAX),Warner Bros.,,

July 8,Mike and Dave Need Wedding Dates (Wide),20th Century Fox,,
,Star Trek 3 (Wide),Paramount Pictures,,

July 15,Ice Age 5 (Wide),20th Century Fox,,

July 22,Ghostbusters (Wide),Sony Pictures,,
,King Arthur (Wide),Warner Bros.,,
,Power Rangers (Wide),Lionsgate,,

July 29,Untitled Next Bourne Chapter (Wide),Universal,,
"August, 2016"
August 5,The Smurfs 3 (Wide),Sony Pictures,,
,Suicide Squad (Wide),Warner Bros.,,

August 12,Dirty Grandpa (Wide),Lionsgate,,
,Pete's Dragon (Wide),Walt Disney,,
,Sausage Party (Wide),Sony Pictures,,
,Spectral (Wide),Universal,,

August 19,Kubo and the Two Stirngs (Wide),Focus Features,,
"September, 2016"
September 9,Untitled New Line Horror Film September 2016 (Wide),Warner Bros.,,

September 23,Ninjago (Wide),Universal,,
,Untitled Sony Pictures Animation Project (Wide),Sony Pictures,,

September 30,Deepwater Horizon (Wide),Lionsgate,,
"October, 2016"
October 7,Gambit (Wide),20th Century Fox,,
,Live by Night (Wide),Warner Bros.,,
,Monster High (Wide),Universal,,

October 14,Inferno (Wide),Sony Pictures,,
,A Monster Calls (Wide),Focus Features,,

October 21,Geostorm (Wide),Warner Bros.,,
,Untitled Blumhouse Horror Project 3 (Wide),Universal,,
"November, 2016"
November 4,Doctor Strange (Wide),Walt Disney,,
,Trolls (Wide),20th Century Fox,,
,Untitled 2016 Event Project (Wide),Universal,,
,Trolls (IMAX),20th Century Fox,,

November 11,Sinster Six (Wide),Sony Pictures,,

November 18,Fantastic Beasts and Where to Find Them (Wide),Warner Bros.,,

November 23,The Great Wall (Wide),Universal,,
,Moana (Wide),Walt Disney,,
"December, 2016"
December 16,Star Wars: Untitled Stand-Alone Film 1 (Wide),Walt Disney,,

December 21,Assassin's Creed (Wide),20th Century Fox,,
,Untitled Illumination Entertainment Project 2 (Wide),Universal,,

December 25,The Greatest Showman on Earth (Wide),20th Century Fox,,


During 2016,Clifford the Big Red Dog (Wide),Universal,,
"January, 2017"
January 13,Boss Baby (Wide),20th Century Fox,,
"February, 2017"
February 10,The Mountain Between Us (Wide),20th Century Fox,,
,Untitled Warner Animation Project (Wide),Warner Bros.,,
"March, 2017"
March 3,Untitled Wolverine (Wide),20th Century Fox,,

March 10,Captain Underpants (Wide),20th Century Fox,,
,Kong: Skull Island (Wide),Universal,,

March 24,Allegiant: Part 2 (Wide),Lionsgate,,
"April, 2017"
April 7,Ferdinand (Wide),20th Century Fox,,
,Pacific Rim 2 (Wide),Universal,,

April 14,Blazing Samurai (Wide),Open Road,,
,Ghost in the Shell (Wide),Walt Disney,,

April 21,Untitled Universal Monster Franchise Film (Wide),Universal,,
"May, 2017"
May 5,Guardians of the Galaxy 2 (Wide),Walt Disney,,

May 19,Terminator Sequel (Wide),Paramount Pictures,,

May 26,Lego Batman Movie (Wide),Warner Bros.,,
"June, 2017"
June 2,The Fantastic Four 2 (Wide),20th Century Fox,,

June 6,Toy Story 4 (Wide),Walt Disney,,

June 23,Wonder Woman (Wide),Warner Bros.,,

June 30,Despicable Me 3 (Wide),Universal,,
"July, 2017"
July 7,Pirates of the Caribbean: Dead Men Tell No Tales (Wide),Walt Disney,,

July 14,Untitled Planet of the Apes (Wide),20th Century Fox,,

July 21,"Untitled Fox / DWA / Blue Sky July 21, 2017 (Wide)",20th Century Fox,,

July 28,Thor: Ragnarok (Wide),Walt Disney,,
,Untitled Spider Man Project (Wide),Sony Pictures,,
"September, 2017"
September 22,Untitled Sony Pictures Animation Film 2 (Wide),Sony Pictures,,
"October, 2017"
October 6,Jungle Book Origins (Wide),Warner Bros.,,
"November, 2017"
November 3,Black Panther (Wide),Walt Disney,,

November 17,Dr. Seuss' How the Grinch Stole Christmas (Wide),Universal,,
,Justice League: Part One (Wide),Warner Bros.,,

November 22,Untitled Disney Pixar Project 2017 (Wide),Walt Disney,,
"December, 2017"
December 22,The Croods 2 (Wide),20th Century Fox,,


During 2017,Avatar 2 (Wide),20th Century Fox,,

December 31,Star Wars Ep. VIII (Wide),Walt Disney,,

December TBD,Avatar 3 (Wide),20th Century Fox,,

During 2017,Lego Batman (Wide),Warner Bros.,,
,Star Wars: Episode VIII (Wide),Walt Disney,,
"February, 2018"
February 9,Untitled Warner Animation Project 2018 (Wide),Warner Bros.,,

February 16,Larrikins (Wide),20th Century Fox,,
"March, 2018"
March 9,Untitled Disney Animation Film 1 (Wide),Walt Disney,,

March 23,Anubis (Wide),20th Century Fox,,
,The Flash (Wide),Warner Bros.,,
"May, 2018"
May 4,The Amazing Spider Man 4 (Wide),Sony Pictures,,
,Avengers: Infinity War (Wide),Walt Disney,,
"June, 2018"
June 8,Godzilla 2 (Wide),Warner Bros.,,

June 29,How to Train Your Dragon 3 (Wide),20th Century Fox,,
,How to Train Your Dragon 3 (IMAX),20th Century Fox,,
"July, 2018"
July 6,Captain Marvel (Wide),Walt Disney,,

July 13,Untitled Fox / Marvel (Wide),20th Century Fox,,

July 20,"Untitled / Fox / DWA / Blue Sky July 20, 2018 (Wide)",20th Century Fox,,

July 27,Aquaman (Wide),Warner Bros.,,
"November, 2018"
November 2,Inhumans (Wide),Walt Disney,,

November 16,Fantastic Beasts and Where to Find Them 2 (Wide),Warner Bros.,,

November 21,Untitled Disney Animation Film 2 (Wide),Walt Disney,,
"December, 2018"
December 21,"Untitled / Fox / DWA Blue Sky December 21, 2018 (Wide)",20th Century Fox,,
"April, 2019"
April 5,Shazam! (Wide),Warner Bros.,,
"May, 2019"
May 3,Avengers: Infinity War Part II (Wide),Walt Disney,,

May 24,Untitled Warner Animation Group Project 2019 (Wide),Warner Bros.,,
"June, 2019"
June 14,Justice League: Part Two (Wide),Warner Bros.,,
"April, 2020"
April 3,Cyborg (Wide),Warner Bros.,,
"June, 2020"
June 19,Green Lantern (Wide),Warner Bros.,,
"November, 2020"
November 20,Fantastic Beasts and Where to Find Them 3 (Wide),Warner Bros.,,
